date,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Proportion of Level 4 and above ,Proportion of Level 3,Proportion of Level 2,Proportion of Level 1 and entry,Proportion of None
2021,Islington,E09000019,183626,25257,10273,13146,4212,22337,103975,4426,56.62%,12.16%,7.16%,5.59%,13.75%
2021,Kensington and Chelsea,E09000020,123089,13971,5446,8803,2378,15439,73226,3826,59.49%,12.54%,7.15%,4.42%,11.35%
2021,Kingston upon Thames,E09000021,135466,16128,8744,13319,4324,19766,69582,3603,51.36%,14.59%,9.83%,6.45%,11.91%
2021,Lambeth,E09000022,268945,35185,16252,21025,6973,31935,151312,6263,56.26%,11.87%,7.82%,6.04%,13.08%
2021,Lewisham,E09000023,242410,35447,17738,23426,7261,31537,120814,6187,49.84%,13.01%,9.66%,7.32%,14.62%
2021,Merton,E09000024,172771,24609,12368,16510,5752,21786,86412,5334,50.02%,12.61%,9.56%,7.16%,14.24%
2021,Newham,E09000025,276174,57151,24931,28082,8619,35783,111130,10478,40.24%,12.96%,10.17%,9.03%,20.69%
2021,Redbridge,E09000026,242017,41948,20878,27163,7557,33074,102696,8701,42.43%,13.67%,11.22%,8.63%,17.33%
2021,Richmond upon Thames,E09000027,155834,14163,7779,14029,3743,18830,94089,3201,60.38%,12.08%,9.00%,4.99%,9.09%
2021,Southwark,E09000028,256136,35516,15851,20135,6509,31574,140514,6037,54.86%,12.33%,7.86%,6.19%,13.87%
2021,Sutton,E09000029,165657,25122,15348,21432,7281,25866,65889,4719,39.77%,15.61%,12.94%,9.26%,15.17%
2021,Tower Hamlets,E09000030,252883,40999,17155,21433,5441,33343,127299,7213,50.34%,13.19%,8.48%,6.78%,16.21%
2021,Waltham Forest,E09000031,222182,40535,18874,23106,7699,28770,95910,7288,43.17%,12.95%,10.40%,8.49%,18.24%
2021,Wandsworth,E09000032,273558,27202,12759,18895,5578,31214,171346,6564,62.64%,11.41%,6.91%,4.66%,9.94%
2021,Westminster,E09000033,177467,22882,8615,12181,3746,22019,102356,5668,57.68%,12.41%,6.86%,4.85%,12.89%
2021,Cambridgeshire,E10000003,559647,84271,49814,68398,27623,92735,222792,14014,39.81%,16.57%,12.22%,8.90%,15.06%
2021,Cumbria,E10000006,420036,77431,40803,57858,32528,74804,126465,10147,30.11%,17.81%,13.77%,9.71%,18.43%
2021,Derbyshire,E10000007,659820,124474,68559,95890,43063,118011,193963,15860,29.40%,17.89%,14.53%,10.39%,18.86%
2021,Devon,E10000008,683469,106332,67117,98119,42272,127171,224689,17769,32.87%,18.61%,14.36%,9.82%,15.56%
2021,East Sussex,E10000011,455639,78950,49001,68015,25590,78092,142839,13152,31.35%,17.14%,14.93%,10.75%,17.33%
2021,Essex,E10000012,1224175,230974,142834,193117,69118,212917,341104,34111,27.86%,17.39%,15.78%,11.67%,18.87%
2021,Gloucestershire,E10000013,532284,80754,51195,76114,29334,91859,189619,13409,35.62%,17.26%,14.30%,9.62%,15.17%
2021,Hampshire,E10000014,1151127,169662,115453,166517,65757,209764,394217,29757,34.25%,18.22%,14.47%,10.03%,14.74%
2021,Hertfordshire,E10000015,959081,140644,91151,129038,43603,152048,378323,24274,39.45%,15.85%,13.45%,9.50%,14.66%
2021,Kent,E10000016,1276566,229214,137736,189679,71615,222389,389229,36704,30.49%,17.42%,14.86%,10.79%,17.96%
2021,Lancashire,E10000017,1012923,188448,96914,137884,64907,188742,310083,25945,30.61%,18.63%,13.61%,9.57%,18.60%
2021,Leicestershire,E10000018,587433,98347,56933,80155,37105,112785,187737,14371,31.96%,19.20%,13.64%,9.69%,16.74%
2021,Lincolnshire,E10000019,640209,131263,69919,94381,42640,118371,163928,19707,25.61%,18.49%,14.74%,10.92%,20.50%
2021,Norfolk,E10000020,767096,156650,86088,113773,48903,134214,204803,22665,26.70%,17.50%,14.83%,11.22%,20.42%
